Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","ISC","2115","Integrated Science Lab II","Long","3.95","92.3","0","7.7","0","0","0","0","0","0","0","0","0","0","13","86581","  1"
"2024-25","Fall","PSYC","4284","Lab in Social Psyc","Diaz Benitez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","89465","  1"
"2024-25","Fall","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","88573","  1"
"2024-25","Summer I","CHEM","2545","Organic Chemistry Laboratory","Bowen","3.14","15.4","15.4","15.4","15.4","30.8","0","7.7","0","0","0","0","0","0","13","60727","  1"
"2024-25","Summer I","BIT","5984","SS: Principles Sustain Develop","Finnell","3.8","61.5","23.1","7.7","7.7","0","0","0","0","0","0","0","0","0","13","64844","  1"
"2024-25","Fall","ARCH","3234","TS: AI-Accessibility Workshop","Gipe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","92136","  1"
"2024-25","Fall","CEM","4994","Undergraduate Research","Zhang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82648","  1"
"2024-25","Fall","CHEM","4994","Undergraduate Research","Morris","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","82971","  2"
"2024-25","Fall","CHE","4994","Undergraduate Research","Kiran","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","91010","  1"
"2024-25","Fall","HNFE","4814","Advanced Athletic Injuries","Matthis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86339","  2"
"2024-25","Fall","HNFE","4814","Advanced Athletic Injuries","Bryan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86339","  2"
"2024-25","Fall","MUS","3035","Advanced Class Piano","Crone","3.57","35.7","28.6","21.4","7.1","0","7.1","0","0","0","0","0","0","0","14","88261","  1"
"2024-25","Fall","ALCE","3494","Advanced Welding Technology","Mariger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","14","80271","  1"
"2024-25","Fall","ALCE","2964","Field Study","Westfall-Rudd","3.79","80","0","0","20","0","0","0","0","0","0","0","0","0","5","80266","  2"
